IND_NAME,DIM_GEO_NAME,IND_CODE,DIM_GEO_CODE,DIM_TIME_YEAR,DIM_1_CODE,VALUE_NUMERIC,VALUE_STRING,VALUE_COMMENTS
Age-standardized prevalence of obesity among adults (18+ years) (%),Afghanistan,NCD_BMI_30A,AFG,2022,SEX_BTSX,19.2225894928,19.2,
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Afghanistan,M_Est_tob_curr_std,AFG,2022,SEX_BTSX,22.7000007629,22.7,The most recent survey was conducted in 2019. This is a projection.
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Afghanistan,SDGODAWS,AFG,2022,,67.9558029175,68.0,
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Afghanistan,WHS4_100,AFG,2022,,69.0,69.0,
Malaria incidence (per 1000 population at risk),Afghanistan,MALARIA_EST_INCIDENCE,AFG,2022,,9.06433963776,9.1,
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Afghanistan,MCV2,AFG,2022,,49.0,49.0,
Neonatal mortality rate (per 1000 live births),Afghanistan,WHOSIS_000003,AFG,2022,SEX_BTSX,35.4898109436,35.0,
New HIV infections (per 1000 uninfected population),Afghanistan,SDGHIV,AFG,2022,SEX_BTSX,0.029999999329,0.0,
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Afghanistan,PCV3,AFG,2022,,67.0,67.0,
Prevalence of obesity among children and adolescents (5–19 years) (%),Afghanistan,NCD_BMI_PLUS2C,AFG,2022,SEX_BTSX,8.46243000031,8.5,
Prevalence of overweight in children under 5 (%),Afghanistan,NUTOVERWEIGHTPREV,AFG,2022,,3.70000004768,3.7,
Prevalence of stunting in children under 5 (%),Afghanistan,NUTSTUNTINGPREV,AFG,2022,,33.0999984741,33.1,
Prevalence of wasting in children under 5 (%),Afghanistan,NUTRITION_WH_2,AFG,2022,,3.6,3.6,
Proportion of population using a hand-washing facility with soap and water (%),Afghanistan,WSH_HYGIENE_BASIC,AFG,2022,,48.2146987915,48.0,
Proportion of population using safely-managed drinking-water services (%),Afghanistan,WSH_WATER_SAFELY_MANAGED,AFG,2022,,30.0340995789,30.0,
Proportion of population with primary reliance on clean fuels and technology (%),Afghanistan,PHE_HHAIR_PROP_POP_CLEAN_FUELS,AFG,2022,,36.0999984741,36.0,
